Rank,Site,Manufacturer,Computer,Country,Year,Total Cores,Rmax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Processor Speed (MHz),Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,National Supercomputing Center in Tianjin,NUDT,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C",China,2010,186368,2566000,4701000,3600000,1000000,4040,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,NUDT MPP,NUDT YH MPP,Linux,MPP,Research,Research,Proprietary,Proprietary,Eastern Asia,Asia
2,DOE/SC/Oak Ridge National Laboratory,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,224162,1759000,2331000,5474272,0,6950.6,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
3,National Supercomputing Centre in Shenzhen (NSCS),Dawning,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU",China,2010,120640,1271000,2984300,2359296,0,2580,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dawning Cluster,Dawning TC3600 Blade System,Linux,Cluster,Research,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
4,"GSIC Center, Tokyo Institute of Technology",NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows",Japan,2010,73278,1192000,2287630,2490368,0,1398.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
5,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,153408,1054000,1288630,4537344,0,2910,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Research,Custom,Custom,North America,Americas
6,Commissariat a l'Energie Atomique (CEA),Bull SA,Bull bullx super-node S6010/S6030,France,2010,138368,1050000,1254550,4926336,0,4590,Intel EM64T,Intel EM64T Xeon 75xx (Nehalem-EX),2260,8,Bull Bullx,bullx super-node S6010/S6030,Linux,Cluster,Research,Defense,Infiniband,Infiniband QDR,Western Europe,Europe
7,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",United States,2009,122400,1042000,1375780,2249343,0,2345.5,Power,PowerXCell 8i,3200,9,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
8,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron 6-core 2.6 GHz,United States,2009,98928,831700,1028850,0,0,3090,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
9,Forschungszentrum Juelich (FZJ),IBM,Blue Gene/P Solution,Germany,2009,294912,825500,1002700,0,0,2268,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe
10,DOE/NNSA/LANL/SNL,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,107152,816600,1028660,0,0,2950,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,MPP,Research,Research,Custom,Custom,North America,Americas
11,NASA/Ames Research Center/NAS,SGI,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband",United States,2010,81920,772700,973291,2966040,0,3096,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX/8400EX,Linux,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
12,DOE/NNSA/LLNL,IBM,eServer Blue Gene Solution,United States,2007,212992,478200,596378,2456063,0,2329.6,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
13,DOE/SC/Argonne National Laboratory,IBM,Blue Gene/P Solution,United States,2007,163840,458611,557056,0,0,1260,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
14,Sandia National Laboratories / National Renewable Energy Laboratory,Oracle,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",United States,2010,42440,433500,497396,2504421,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade x6275,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
15,Texas Advanced Computing Center/Univ. of Texas,Oracle,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200,579379,0,0,2000,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Sun Blade System,Sun Blade x6420,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
16,DOE/NNSA/LLNL,IBM,Blue Gene/P Solution,United States,2009,147456,415700,501350,2958335,0,1134,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
17,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2, Xeon 5570 2.93 GHz, Infiniband QDR",Russia,2009,35360,350100,414419,2489344,0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,T-Platforms Cluster,T-Platforms T-Blade2,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
18,Air Force Research Laboratory,Cray Inc.,Cray XE6 8-core 2.4 GHz,United States,2010,42712,336300,410035,0,0,0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Cray XE,Cray XE6,Linux,MPP,Research,Defense,Custom,Custom,North America,Americas
19,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
20,Korea Meteorological Administration,Cray Inc.,Cray XE6 12-core 2.1 GHz,"Korea, South",2010,45120,316400,379008,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,MPP,Research,Weather and Climate Research,Custom,Custom,Eastern Asia,Asia
21,Government,Cray Inc.,Cray XE6 12-core 2.2 GHz,United States,2010,45504,295500,400435,0,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,Cray XE,Cray XE6,Linux,MPP,Classified,Not Specified,Custom,Custom,North America,Americas
22,Universitaet Frankfurt,Clustervision/Supermicro,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Germany,2010,15120,285200,469728,1935360,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Supermicro Cluster,Supermicro SuperServer,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
23,Forschungszentrum Juelich (FZJ),Bull SA,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",Germany,2009,26304,274800,308283,0,0,1549,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun-Bull-ParTec Cluster,NovaScale R422-E2/Sun Blade 6048 system,SUSE Linux,Cluster,Research,Not Specified,Infiniband,Infiniband QDR Sun M9 / Mellanox / ParTec,Western Europe,Europe
24,KISTI Supercomputing Center,Oracle,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","Korea, South",2009,26232,274800,307439,0,0,1275.96,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
25,University of Edinburgh,Cray Inc.,Cray XT6 12-Core 2.1 GHz,United Kingdom,2010,43660,274700,366744,2416744,0,0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6,Linux,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe
26,DOE/SC/LBNL/NERSC,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,38642,266300,355506,1612399,0,1150,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
27,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800,267878,2487240,0,1064,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
